year,position,is_in_state,jersey,name,id,bio_url,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_RBI,pitching_R,pitching_H,pitching_2B,pitching_3B,pitching_HR,pitching_BB,pitching_SO,batting_AB,batting_SB_successful,batting_SB_attempted,batting_SB,pitching_HBP,hometown,state,WAR,pitching_ERA,pitching_WHIP,pitching_WL,pitching_APP_GS,pitching_CG,pitching_SHO,pitching_SV,pitching_IP,pitching_ER,pitching_BAVG,pitching_WP,pitching_BK,pitching_SFA,pitching_SHA
2015,UTIL,True,9,"Woodward, Woody",143,https://ucsbgauchos.com/sports/baseball/roster/woody-woodward/143,0.235,0.366,0.324,0.69,0.0,16,16,4,1,0,8,11,68,2.0,2.0,2-2,6,Glendora,Calif.,0.04465967999999999,,,,,,,,,,,,,,
2015,IF,True,40,"Bush, Austin",105,https://ucsbgauchos.com/sports/baseball/roster/austin-bush/105,0.231,0.231,0.231,0.462,1.0,2,3,0,0,0,0,5,13,0.0,0.0,0-0,0,Turlock,Calif.,0.0038368199999999986,,,,,,,,,,,,,,
2015,OF,True,10,"Kelly, Dalton",122,https://ucsbgauchos.com/sports/baseball/roster/dalton-kelly/122,0.227,0.37,0.227,0.597,4.0,1,5,0,0,0,3,6,22,2.0,3.0,2-3,2,Redding,Calif.,0.0036742933333333326,,,,,,,,,,,,,,
2015,C,True,35,"Wear, Campbell",141,https://ucsbgauchos.com/sports/baseball/roster/campbell-wear/141,0.178,0.228,0.247,0.475,10.0,6,13,5,0,0,4,22,73,1.0,1.0,1-1,1,San Diego,Calif.,0.6741497733333333,,,,,,,,,,,,,,
2015,IF,True,2,"Plantier, Kyle",133,https://ucsbgauchos.com/sports/baseball/roster/kyle-plantier/133,0.13,0.13,0.174,0.304,2.0,1,3,1,0,0,0,8,23,0.0,0.0,0-0,0,Temecula,Calif.,0.0008086799999999998,,,,,,,,,,,,,,
2015,IF,True,13,"Clark, Ryan",109,https://ucsbgauchos.com/sports/baseball/roster/ryan-clark/109,0.125,0.125,0.125,0.25,0.0,0,1,0,0,0,0,3,8,0.0,0.0,0-0,0,Fresno,Calif.,-0.00013199999999999985,,,,,,,,,,,,,,
2015,OF,True,30,"Quinlan, Scott",134,https://ucsbgauchos.com/sports/baseball/roster/scott-quinlan/134,0.056,0.15,0.056,0.206,2.0,3,1,0,0,0,1,8,18,1.0,1.0,1-1,1,Danville,Calif.,-0.00789528,,,,,,,,,,,,,,
2015,C,True,20,"Grover, Dempsey",118,https://ucsbgauchos.com/sports/baseball/roster/dempsey-grover/118,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,3,0.0,0.0,0-0,0,Modesto,Calif.,0.505098,,,,,,,,,,,,,,
2015,IF,True,6,"Hearn, JD",119,https://ucsbgauchos.com/sports/baseball/roster/jd-hearn/119,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0,1,1,1,0.0,0.0,0-0,0,Campbell,Calif.,0.0006659999999999999,,,,,,,,,,,,,,
2016,OF,True,15,"Gradford, Devon",163,https://ucsbgauchos.com/sports/baseball/roster/devon-gradford/163,0.333,0.417,0.46,0.877,18.0,22,42,7,3,1,13,24,126,4.0,8.0,4-8,5,Modesto,Calif.,0.05814059999999997,,,,,,,,,,,,,,
